id,uaudl ,le,css,w,d,uil,r
1,100,10.5,L SHAPE,300,1045,1199,148
2,75,6.5,L SHAPE,450,481,568,192
3,50,6.5,rectangular ,450,357,385,223
4,25,9.5,rectangular ,300,572,304,149
5,50,5.5,L SHAPE,300,463,323,175
6,50,5.5,rectangular ,450,305,326,251
7,75,9.5,rectangular ,450,650,841,219
8,50,11.5,rectangular ,300,875,698,174
9,150,7.5,L SHAPE,300,954,1268,130
10,100,11.5,rectangular ,450,913,1354,187
11,75,12.5,rectangular ,450,989,1156,159
12,150,4.5,rectangular ,450,372,776,237
13,25,7.5,L SHAPE,300,459,230,152
14,75,10.5,rectangular ,450,755,942,188
15,150,8.5,rectangular ,300,798,1417,237
16,50,4.5,L SHAPE,300,347,263,165
17,50,6.5,L SHAPE,450,387,384,223
18,25,6.5,rectangular ,450,318,206,173
19,50,7.5,L SHAPE,450,466,448,245
20,50,10.5,L SHAPE,450,689,650,165
21,25,4.5,rectangular ,450,300,146,96
22,75,12.5,L SHAPE,450,976,1146,168
23,100,10.5,L SHAPE,450,794,1216,202
24,75,8.5,rectangular ,300,592,725,383
25,75,4.5,rectangular ,300,332,391,273
26,50,11.5,L SHAPE,450,797,727,150
27,100,9.5,rectangular ,450,682,1096,234
28,50,12.5,rectangular ,450,916,817,135
29,150,10.5,L SHAPE,450,947,1790,188
30,25,9.5,rectangular ,450,528,324,132
31,100,8.5,rectangular ,450,561,971,301
32,25,12.5,L SHAPE,450,842,471,95
33,25,12.5,rectangular ,300,872,431,125
34,75,11.5,rectangular ,300,987,1011,128
35,25,4.5,L SHAPE,450,300,143,117
36,25,12.5,rectangular ,450,805,472,108
37,25,6.5,L SHAPE,450,319,202,174
38,75,4.5,L SHAPE,450,315,394,326
39,100,9.5,L SHAPE,450,739,1098,183
40,75,11.5,L SHAPE,300,1019,1010,137
41,150,6.5,L SHAPE,300,889,1104,127
42,25,5.5,rectangular ,300,300,167,212
43,75,4.5,L SHAPE,300,463,394,158
44,150,7.5,rectangular ,300,661,1250,344
45,50,10.5,rectangular ,300,757,628,201
46,100,10.5,rectangular ,450,796,1223,214
47,50,10.5,L SHAPE,300,867,633,128
48,50,12.5,L SHAPE,450,903,807,131
49,25,5.5,L SHAPE,300,307,164,207
50,25,8.5,rectangular ,300,483,266,169
51,50,12.5,L SHAPE,300,1033,768,143
52,25,8.5,L SHAPE,450,450,277,138
53,75,6.5,L SHAPE,300,649,563,144
54,50,6.5,rectangular ,300,399,376,274
55,25,5.5,rectangular ,450,300,175,137
56,100,11.5,L SHAPE,450,868,1339,212
57,100,4.5,rectangular ,450,312,522,277
58,150,9.5,L SHAPE,300,1164,1602,67
59,75,5.5,rectangular ,300,406,473,232
60,25,11.5,rectangular ,450,703,419,117
61,100,11.5,rectangular ,300,1070,1322,125
62,25,11.5,rectangular ,300,775,387,140
63,150,10.5,rectangular ,450,918,1792,207
64,150,4.5,rectangular ,300,433,770,335
65,75,5.5,rectangular ,450,334,478,286
66,50,4.5,rectangular ,300,300,264,286
67,100,9.5,rectangular ,300,807,1076,215
68,50,8.5,L SHAPE,300,689,503,133
69,50,9.5,L SHAPE,450,595,578,170
70,75,5.5,L SHAPE,450,396,480,192
71,75,12.5,rectangular ,300,1058,1122,144
72,150,8.5,L SHAPE,300,1033,1434,96
73,100,9.5,L SHAPE,300,979,1085,120
74,25,5.5,L SHAPE,450,300,172,147
75,100,5.5,rectangular ,450,377,632,235
76,150,10.5,L SHAPE,300,1220,1770,81
77,150,9.5,L SHAPE,450,860,1615,182
78,100,6.5,rectangular ,450,430,742,290
79,75,7.5,rectangular ,300,500,638,404
80,75,7.5,L SHAPE,300,727,650,144
81,75,7.5,rectangular ,450,435,649,290
82,25,10.5,rectangular ,300,678,345,155
83,25,8.5,L SHAPE,300,541,265,141
84,100,6.5,L SHAPE,300,720,743,148
85,75,9.5,L SHAPE,300,933,832,130
86,50,8.5,rectangular ,300,553,497,230
87,75,6.5,rectangular ,300,451,555,343
88,100,8.5,L SHAPE,450,666,979,184
89,100,5.5,rectangular ,300,453,625,262
90,25,12.5,L SHAPE,300,876,424,128
91,50,7.5,rectangular ,300,452,434,298
92,50,5.5,rectangular ,300,340,319,263
93,150,4.5,L SHAPE,450,470,780,208
94,50,8.5,rectangular ,450,509,514,207
95,25,7.5,rectangular ,300,403,230,200
96,50,11.5,L SHAPE,300,940,699,173
97,100,4.5,L SHAPE,300,546,523,142
98,75,11.5,rectangular ,450,867,1046,166
99,75,10.5,L SHAPE,300,927,917,108
100,50,4.5,rectangular ,450,300,271,141
101,25,6.5,rectangular ,300,342,197,243
102,100,8.5,L SHAPE,300,950,975,131
103,150,4.5,L SHAPE,300,628,777,157
104,25,9.5,L SHAPE,300,595,300,143
105,150,7.5,L SHAPE,450,690,1273,209
106,25,7.5,L SHAPE,450,377,238,166
107,75,10.5,L SHAPE,450,730,931,197
108,100,4.5,L SHAPE,450,360,522,202
109,75,10.5,rectangular ,300,846,912,187
110,75,11.5,L SHAPE,450,833,1034,198
111,75,12.5,L SHAPE,300,1108,1120,123
112,25,8.5,rectangular ,450,448,282,152
113,150,9.5,rectangular ,300,990,1593,185
114,75,8.5,L SHAPE,450,597,745,188
115,150,6.5,rectangular ,450,487,1098,340
116,100,5.5,L SHAPE,450,461,635,232
117,100,7.5,L SHAPE,450,602,863,190
